Well_ID,Well_Name,X_UTM_m,Y_UTM_m,CRS_EPSG,Field,Block,Quadrant,Trajectory,Status,Completion_Type,Spud_Date,Completion_Date,KB_Elevation_m,Water_Depth_m,Top_Reservoir_TVDSS_m,Gross_Thickness_m,Net_to_Gross_frac,NetPay_m,Porosity_frac,Permeability_mD,Water_Saturation_frac,Oil_Saturation_frac,Gas_Saturation_frac,Total_Depth_MD_m,Total_Depth_TVDSS_m,Deviation_Azimuth_deg,Max_Inclination_deg,Lateral_Length_m,Distance_to_Nearest_Fault_m,Nearest_Fault_ID,Reservoir_Quality_Index
KW-0026,Kimbala-0026,511409.11,786120.22,32632,Kimbala,B03-04,NE,Vertical,Producer,Gas,2017-05-19,2017-10-08,153.9,27.7,2568.6,61.3,0.356,19.6,0.121,48.0,0.539,0.414,0.047,3063.1,3063.1,,3.2,0.0,1735.6,F04,39.2
KW-0027,Kimbala-0027,499197.42,773801.44,32632,Kimbala,B01-02,SW,Vertical,Appraisal,Suspended,2018-08-08,2018-10-07,140.9,45.5,2889.0,36.0,0.443,15.0,0.123,14.1,0.648,0.303,0.049,3313.7,3313.7,,5.1,0.0,3067.5,F03,34.7
KW-0028,Kimbala-0028,524737.97,796582.77,32632,Kimbala,B05-06,NE,Vertical,Appraisal,Suspended,2022-04-21,2022-07-19,149.5,27.6,2468.6,43.2,0.493,14.3,0.122,19.3,0.653,0.259,0.088,2717.7,2717.7,,0.5,0.0,1270.0,F06,35.3
KW-0029,Kimbala-0029,514445.02,780741.16,32632,Kimbala,B02-05,SE,Horizontal,Producer,Gas,2021-11-24,2022-03-16,127.6,33.9,2649.2,47.4,0.452,17.9,0.142,79.3,0.663,0.324,0.013,4808.8,3394.3,309.0,91.4,1997.7,347.2,F05,44.2
KW-0030,Kimbala-0030,503381.3,791659.68,32632,Kimbala,B04-03,NW,Vertical,Abandoned,Plugged,2020-02-17,2020-04-15,125.5,15.4,2497.5,77.9,0.499,35.7,0.126,29.9,0.518,0.453,0.029,2983.3,2983.3,,2.4,0.0,6932.0,F03,42.7
KW-0031,Kimbala-0031,524733.86,796206.57,32632,Kimbala,B05-06,NE,Vertical,Producer,Gas,2019-07-09,2019-09-03,151.6,18.1,2496.8,51.8,0.431,19.5,0.114,10.9,0.576,0.32,0.105,2846.3,2846.3,,6.1,0.0,1339.2,F06,33.4
KW-0032,Kimbala-0032,520165.04,789291.46,32632,Kimbala,B04-06,NE,Vertical,Injector,WaterInjector,2023-01-29,2023-06-04,137.4,27.0,2498.8,55.6,0.428,20.5,0.141,51.1,0.683,0.262,0.054,2994.3,2994.3,,3.3,0.0,1795.7,F06,43.2
KW-0033,Kimbala-0033,524790.13,788286.8,32632,Kimbala,B03-06,NE,Horizontal,Producer,Oil,2022-11-19,2023-01-13,145.2,37.6,2492.3,48.6,0.323,13.3,0.155,34.6,0.534,0.402,0.064,4193.2,3024.0,256.5,87.6,1566.4,2936.5,F06,42.9
KW-0034,Kimbala-0034,515629.77,771317.03,32632,Kimbala,B01-05,SE,Vertical,Appraisal,Suspended,2020-05-08,2020-07-21,144.4,27.9,2977.7,61.8,0.466,26.5,0.118,8.1,0.634,0.272,0.094,3389.8,3389.8,,2.2,0.0,1174.4,F06,35.0
KW-0035,Kimbala-0035,496039.0,786658.72,32632,Kimbala,B03-02,NW,Deviated,Appraisal,Suspended,2024-07-19,2024-09-30,152.1,10.1,2537.5,48.8,0.326,12.1,0.091,8.6,0.675,0.232,0.092,3094.5,3094.5,298.2,26.0,1112.8,218.0,F03,26.8
KW-0036,Kimbala-0036,516736.3,789571.66,32632,Kimbala,B04-05,NE,Horizontal,Producer,Oil,2019-04-10,2019-08-18,140.3,38.7,2527.0,40.3,0.302,10.9,0.117,16.2,0.657,0.299,0.044,4615.0,3521.4,169.3,90.2,2630.7,204.0,F05,33.1
KW-0037,Kimbala-0037,498512.18,791270.93,32632,Kimbala,B04-02,NW,Vertical,Appraisal,Suspended,2021-04-29,2021-06-05,142.7,73.4,2520.4,72.2,0.378,24.5,0.133,6.4,0.497,0.486,0.017,3141.3,3141.3,,4.7,0.0,2228.8,F03,36.7
KW-0038,Kimbala-0038,499018.02,780356.54,32632,Kimbala,B02-02,SW,Horizontal,Producer,Oil,2018-02-24,2018-06-16,145.1,11.0,2648.1,60.8,0.395,23.0,0.15,26.6,0.444,0.527,0.029,4773.6,3590.8,164.5,86.5,2250.2,2797.0,F03,43.5
KW-0039,Kimbala-0039,518864.0,789505.96,32632,Kimbala,B04-05,NE,Deviated,Injector,WaterInjector,2022-05-12,2022-09-15,137.6,24.5,2507.7,47.6,0.286,13.6,0.164,7.7,0.522,0.441,0.038,2984.3,2984.3,148.4,21.2,773.3,2272.4,F05,40.2
KW-0040,Kimbala-0040,522867.63,789731.14,32632,Kimbala,B04-06,NE,Vertical,Abandoned,Plugged,2016-09-20,2016-10-16,127.1,34.8,2507.8,46.7,0.453,17.8,0.111,28.3,0.652,0.333,0.015,3115.9,3040.7,,-0.5,0.0,769.6,F06,35.3
KW-0041,Kimbala-0041,511919.94,773817.58,32632,Kimbala,B01-04,SE,Deviated,Appraisal,Suspended,2017-08-18,2017-12-31,134.8,36.7,2897.8,75.9,0.302,18.6,0.098,9.0,0.514,0.435,0.051,3627.0,3627.0,24.4,45.3,1035.1,265.6,F05,29.8
KW-0042,Kimbala-0042,504102.52,778657.85,32632,Kimbala,B02-03,SW,Vertical,Appraisal,Suspended,2021-04-24,2021-05-30,159.5,20.9,2728.5,70.7,0.436,26.1,0.168,33.5,0.446,0.529,0.025,3182.6,3182.6,,1.3,0.0,3217.2,F04,48.4
KW-0043,Kimbala-0043,514368.52,793602.69,32632,Kimbala,B04-05,NE,Deviated,Appraisal,Suspended,2017-05-18,2017-09-20,125.8,0.7,2523.8,43.2,0.329,12.8,0.134,7.0,0.54,0.433,0.027,2967.6,2967.6,117.9,27.3,768.1,2854.6,F04,34.3
KW-0044,Kimbala-0044,509360.62,787453.64,32632,Kimbala,B03-04,NW,Vertical,DryHole,Dry,2019-09-29,2019-12-13,131.0,28.6,2519.6,39.4,0.239,9.5,0.116,37.2,0.708,0.281,0.011,2878.4,2878.4,,8.1,0.0,602.1,F04,34.9
KW-0045,Kimbala-0045,508966.25,776683.69,32632,Kimbala,B01-04,SW,Vertical,Producer,Oil,2015-02-10,2015-03-17,136.4,63.6,2787.1,49.6,0.286,12.4,0.145,12.3,0.556,0.36,0.083,3249.0,3249.0,,5.6,0.0,2003.1,F04,37.8
KW-0046,Kimbala-0046,517927.16,779097.22,32632,Kimbala,B02-05,SE,Vertical,Abandoned,Plugged,2022-03-08,2022-04-04,157.1,11.0,2711.1,31.4,0.353,8.9,0.154,9.3,0.63,0.319,0.051,3192.9,3181.8,,1.8,0.0,1932.8,F06,37.7
KW-0047,Kimbala-0047,502123.0,775957.06,32632,Kimbala,B01-03,SW,Horizontal,DryHole,Dry,2019-05-16,2019-08-17,152.1,21.4,2838.1,47.1,0.431,18.0,0.162,14.5,0.528,0.418,0.054,5108.6,3285.4,223.9,85.1,2761.0,4370.9,F04,42.7
KW-0048,Kimbala-0048,511471.48,797591.21,32632,Kimbala,B05-04,NE,Vertical,DryHole,Dry,2021-08-12,2021-11-06,121.6,30.0,2489.8,32.9,0.355,9.2,0.162,11.7,0.575,0.357,0.068,3088.2,3088.2,,4.9,0.0,816.7,F04,39.9
KW-0049,Kimbala-0049,516897.44,787260.55,32632,Kimbala,B03-05,NE,Vertical,Producer,Oil,2017-03-11,2017-05-30,136.0,37.5,2550.5,67.2,0.465,28.4,0.159,123.5,0.672,0.238,0.09,3172.2,3140.3,,7.2,0.0,974.8,F05,51.1
KW-0050,Kimbala-0050,493559.17,788528.87,32632,Kimbala,B03-01,NW,Vertical,Appraisal,Suspended,2019-09-16,2020-01-26,112.3,36.9,2568.6,41.1,0.403,17.0,0.147,10.7,0.629,0.339,0.032,2998.8,2998.8,,5.1,0.0,163.7,F01,38.8
KW-0051,Kimbala-0051,509972.18,795932.47,32632,Kimbala,B05-04,NW,Vertical,DryHole,Dry,2020-08-08,2020-11-12,149.2,43.2,2476.1,57.1,0.265,14.6,0.15,6.0,0.606,0.312,0.082,2929.3,2808.6,,4.3,0.0,1933.4,F04,37.1
KW-0052,Kimbala-0052,518640.98,790843.04,32632,Kimbala,B04-05,NE,Deviated,Producer,Oil,2024-08-30,2024-11-05,165.8,28.1,2524.7,69.7,0.251,17.4,0.112,5.7,0.711,0.217,0.072,3194.9,3194.9,229.5,39.4,359.7,1701.3,F05,30.7
KW-0053,Kimbala-0053,517148.97,781318.55,32632,Kimbala,B02-05,SE,Vertical,Appraisal,Suspended,2020-09-28,2020-10-27,151.4,12.2,2666.7,79.6,0.473,39.9,0.123,22.6,0.504,0.448,0.048,3523.0,3363.8,,-0.3,0.0,2799.7,F05,42.3
KW-0054,Kimbala-0054,521343.45,795641.8,32632,Kimbala,B05-06,NE,Vertical,Appraisal,Suspended,2022-06-30,2022-11-24,144.5,54.6,2510.5,27.1,0.505,10.1,0.095,5.8,0.56,0.348,0.092,2967.1,2967.1,,5.5,0.0,1876.3,F06,25.9
KW-0055,Kimbala-0055,509316.94,793701.0,32632,Kimbala,B04-04,NW,Vertical,Producer,Oil,2020-05-23,2020-08-14,140.5,59.2,2473.9,51.2,0.471,22.1,0.154,12.2,0.559,0.373,0.068,2987.0,2987.0,,2.2,0.0,2104.6,F04,41.8
KW-0056,Kimbala-0056,515102.18,790982.75,32632,Kimbala,B04-05,NE,Vertical,Producer,Oil,2024-04-27,2024-07-21,139.4,62.6,2488.2,53.8,0.482,24.8,0.143,16.4,0.539,0.444,0.017,2747.9,2747.9,,2.3,0.0,1746.9,F05,41.3
KW-0057,Kimbala-0057,520785.35,796288.94,32632,Kimbala,B05-06,NE,Vertical,DryHole,Dry,2019-04-29,2019-07-03,168.9,28.0,2520.4,65.1,0.27,14.9,0.149,8.0,0.612,0.361,0.027,2982.0,2982.0,,1.9,0.0,2317.9,F05,37.8
KW-0058,Kimbala-0058,502944.26,781772.64,32632,Kimbala,B02-03,SW,Horizontal,Injector,WaterInjector,2015-11-08,2016-02-19,144.0,52.8,2638.8,61.4,0.493,27.0,0.172,19.7,0.55,0.398,0.052,5046.2,3366.8,187.5,81.8,2663.9,5193.2,F04,47.8
KW-0059,Kimbala-0059,493434.68,787492.48,32632,Kimbala,B03-01,NW,Vertical,Producer,Oil+Gas,2021-06-09,2021-08-19,137.9,63.0,2566.8,23.2,0.459,7.7,0.112,38.1,0.646,0.337,0.016,3033.1,3033.1,,2.9,0.0,8.9,F01,33.8
KW-0060,Kimbala-0060,491172.78,784312.74,32632,Kimbala,B03-01,SW,Deviated,Abandoned,Plugged,2018-03-12,2018-08-03,153.7,30.4,2671.5,36.6,0.319,11.2,0.113,6.3,0.576,0.353,0.071,3082.7,3082.7,202.7,20.2,714.9,780.0,F02,29.6
KW-0061,Kimbala-0061,510919.77,779260.01,32632,Kimbala,B02-04,SE,Horizontal,DryHole,Dry,2021-04-01,2021-06-29,156.2,42.9,2721.4,61.9,0.426,23.9,0.145,58.9,0.573,0.314,0.113,3877.6,3701.9,171.5,91.1,982.6,2656.3,F05,45.2
KW-0062,Kimbala-0062,512797.76,772034.88,32632,Kimbala,B01-04,SE,Horizontal,Appraisal,Suspended,2023-06-02,2023-11-10,137.1,38.3,2926.9,28.0,0.424,11.6,0.113,17.8,0.567,0.415,0.018,5134.5,3390.0,334.1,84.4,2562.8,1047.7,F05,32.7
KW-0063,Kimbala-0063,503809.25,774759.68,32632,Kimbala,B01-03,SW,Vertical,DryHole,Dry,2019-01-11,2019-05-01,160.0,34.6,2855.6,34.5,0.405,12.4,0.122,5.8,0.659,0.26,0.081,3250.8,3250.8,,0.7,0.0,2418.9,F04,31.4
KW-0064,Kimbala-0064,510124.7,792902.37,32632,Kimbala,B04-04,NE,Deviated,Appraisal,Suspended,2020-08-06,2020-11-30,144.5,33.3,2499.5,43.8,0.328,11.6,0.164,15.0,0.69,0.284,0.026,2843.2,2843.2,194.8,20.8,417.8,1146.9,F04,41.6
KW-0065,Kimbala-0065,498182.94,788751.32,32632,Kimbala,B03-02,NW,Horizontal,Appraisal,Suspended,2022-09-18,2023-02-28,128.5,26.5,2581.6,61.8,0.62,38.7,0.137,25.1,0.584,0.418,0.0,4139.0,3496.2,269.3,79.9,1405.8,1914.0,F03,44.9
KW-0066,Kimbala-0066,510479.78,786430.19,32632,Kimbala,B03-04,NE,Vertical,Producer,Oil,2024-04-07,2024-09-01,139.0,56.2,2574.0,61.7,0.439,23.9,0.108,58.8,0.565,0.365,0.07,3212.8,3212.8,,1.9,0.0,756.8,F04,38.4
KW-0067,Kimbala-0067,514613.71,791663.51,32632,Kimbala,B04-05,NE,Deviated,Producer,Oil,2017-03-25,2017-06-30,138.9,56.7,2529.7,55.4,0.494,26.5,0.123,12.4,0.639,0.305,0.056,3010.8,3010.8,247.2,38.2,1055.7,2399.0,F05,37.3
KW-0068,Kimbala-0068,502358.18,793613.27,32632,Kimbala,B04-03,NW,Vertical,DryHole,Dry,2021-10-10,2022-02-02,146.7,33.0,2494.1,44.9,0.573,22.4,0.149,8.9,0.663,0.256,0.082,3000.7,3000.7,,2.5,0.0,5616.6,F03,40.0
KW-0069,Kimbala-0069,500326.81,783561.38,32632,Kimbala,B03-02,SW,Vertical,Producer,Oil,2021-10-20,2022-01-18,134.2,0.0,2597.8,34.4,0.377,11.2,0.111,20.9,0.489,0.456,0.055,2934.8,2934.8,,3.1,0.0,4087.5,F03,32.8
KW-0070,Kimbala-0070,516895.27,782714.3,32632,Kimbala,B02-05,SE,Deviated,Producer,Oil+Gas,2022-10-11,2023-03-06,136.7,2.9,2657.6,81.6,0.482,39.3,0.163,85.3,0.559,0.423,0.018,3311.8,3146.9,107.1,30.4,966.7,2183.5,F05,53.5
KW-0071,Kimbala-0071,499524.41,786672.63,32632,Kimbala,B03-02,NW,Vertical,Appraisal,Suspended,2024-11-07,2024-12-31,117.1,25.3,2506.1,45.7,0.484,20.5,0.138,27.7,0.461,0.478,0.061,3102.4,2898.9,,5.6,0.0,3267.3,F03,40.8
KW-0072,Kimbala-0072,517620.99,789804.07,32632,Kimbala,B04-05,NE,Vertical,DryHole,Dry,2023-10-30,2024-01-16,147.3,24.9,2528.6,45.4,0.358,16.2,0.135,16.2,0.666,0.292,0.042,2931.1,2931.1,,1.8,0.0,994.9,F05,37.6
KW-0073,Kimbala-0073,518529.06,786817.32,32632,Kimbala,B03-05,NE,Vertical,Abandoned,Plugged,2016-06-26,2016-09-08,165.7,37.2,2569.8,72.8,0.466,24.4,0.172,71.2,0.449,0.516,0.035,3302.0,3302.0,,7.8,0.0,2665.6,F05,50.8
KW-0074,Kimbala-0074,513611.78,783014.74,32632,Kimbala,B02-04,SE,Horizontal,Producer,Gas,2020-07-08,2020-08-08,142.0,25.2,2624.1,97.0,0.568,48.8,0.203,153.5,0.553,0.336,0.111,4598.1,3281.8,278.8,78.5,2223.6,1061.5,F05,65.1
KW-0075,Kimbala-0075,499426.52,781219.27,32632,Kimbala,B02-02,SW,Horizontal,Appraisal,Suspended,2022-08-30,2023-02-10,141.3,49.3,2673.5,65.3,0.469,27.6,0.112,19.9,0.742,0.197,0.06,4992.9,3596.8,136.5,82.8,2290.0,3200.6,F03,36.9
KW-0076,Kimbala-0076,517194.71,784554.74,32632,Kimbala,B03-05,SE,Vertical,Appraisal,Suspended,2023-04-18,2023-06-12,138.7,22.0,2575.8,71.0,0.59,36.0,0.201,74.6,0.37,0.579,0.052,3273.1,3233.4,,3.8,0.0,1982.0,F05,59.3
KW-0077,Kimbala-0077,493584.8,785046.93,32632,Kimbala,B03-01,NW,Deviated,Injector,WaterInjector,2020-03-03,2020-04-02,159.3,47.0,2616.7,64.4,0.453,24.4,0.104,13.1,0.667,0.278,0.055,3029.5,3029.5,159.2,22.5,681.2,842.1,F01,33.3
KW-0078,Kimbala-0078,508224.0,776061.72,32632,Kimbala,B01-04,SW,Vertical,Appraisal,Suspended,2023-04-03,2023-05-29,137.3,40.7,2784.9,61.5,0.41,22.0,0.122,9.3,0.446,0.503,0.05,3257.9,3257.9,,1.1,0.0,1462.2,F04,35.2
KW-0079,Kimbala-0079,506679.94,782419.46,32632,Kimbala,B02-03,SW,Deviated,Producer,Oil,2020-10-25,2020-12-28,134.1,54.8,2622.1,45.5,0.516,23.1,0.138,112.9,0.618,0.277,0.106,3067.4,3067.4,139.7,25.6,688.4,1783.0,F04,45.8
KW-0080,Kimbala-0080,513772.71,789095.68,32632,Kimbala,B03-05,NE,Deviated,DryHole,Dry,2023-11-18,2024-02-07,120.2,3.2,2528.0,41.0,0.304,9.2,0.109,9.9,0.706,0.289,0.004,3054.3,3054.3,267.7,38.6,1037.7,2525.8,F05,29.7
KW-0081,Kimbala-0081,514162.8,785372.02,32632,Kimbala,B03-05,NE,Vertical,Producer,Oil,2018-06-18,2018-07-30,139.2,27.4,2587.1,71.5,0.395,22.0,0.17,81.5,0.476,0.446,0.078,3199.7,3199.7,,6.6,0.0,1158.1,F05,50.3
KW-0082,Kimbala-0082,523150.82,789761.64,32632,Kimbala,B04-06,NE,Vertical,DryHole,Dry,2020-06-03,2020-10-27,153.4,49.6,2537.4,63.6,0.333,20.6,0.151,38.6,0.563,0.37,0.066,3048.5,3048.5,,1.0,0.0,1041.4,F06,44.2
KW-0083,Kimbala-0083,514808.15,771922.32,32632,Kimbala,B01-05,SE,Horizontal,Abandoned,Plugged,2015-01-13,2015-03-20,146.6,45.4,2927.0,57.3,0.367,17.2,0.112,17.1,0.585,0.299,0.116,4753.0,3716.3,358.3,83.6,2277.0,2162.1,F06,33.8
KW-0084,Kimbala-0084,512600.65,797706.22,32632,Kimbala,B05-04,NE,Vertical,Appraisal,Suspended,2020-03-26,2020-06-25,147.9,37.1,2474.4,78.1,0.423,30.3,0.132,13.8,0.61,0.359,0.031,3074.4,3074.4,,3.8,0.0,263.1,F04,40.1
KW-0085,Kimbala-0085,512199.19,782127.83,32632,Kimbala,B02-04,SE,Vertical,Producer,Oil+Gas,2019-05-15,2019-09-24,154.6,64.4,2598.7,75.7,0.676,40.3,0.204,259.7,0.457,0.535,0.007,3109.8,3109.8,,5.9,0.0,2186.8,F05,64.7
KW-0086,Kimbala-0086,514842.01,784105.47,32632,Kimbala,B03-05,SE,Deviated,Abandoned,Plugged,2023-07-02,2023-08-17,134.1,23.5,2605.7,95.5,0.527,50.2,0.156,466.3,0.528,0.389,0.082,3177.4,3177.4,173.3,22.7,826.5,166.1,F05,60.2
KW-0087,Kimbala-0087,511035.6,797741.05,32632,Kimbala,B05-04,NE,Vertical,Producer,Oil,2019-04-20,2019-08-14,141.2,43.1,2475.6,66.3,0.343,16.7,0.154,4.7,0.658,0.27,0.072,3030.2,3030.2,,2.0,0.0,1274.3,F04,37.8
KW-0088,Kimbala-0088,516389.91,773183.05,32632,Kimbala,B01-05,SE,Deviated,Producer,Gas,2022-10-10,2023-01-09,144.3,31.0,2919.4,35.2,0.392,13.2,0.129,8.8,0.624,0.351,0.025,3489.0,3489.0,44.1,27.4,375.1,1162.1,F06,34.1
KW-0089,Kimbala-0089,500756.38,774508.65,32632,Kimbala,B01-02,SW,Horizontal,Producer,Oil,2022-09-14,2023-02-16,137.2,29.1,2887.9,48.4,0.459,20.9,0.106,6.9,0.517,0.46,0.023,4281.7,3483.8,184.5,87.4,1729.1,4568.8,F03,31.1
KW-0090,Kimbala-0090,516925.0,788922.11,32632,Kimbala,B03-05,NE,Deviated,Producer,Gas,2022-06-05,2022-08-09,179.4,18.8,2590.4,45.1,0.356,14.9,0.115,23.5,0.519,0.438,0.043,3239.8,3239.8,342.2,42.2,650.8,558.9,F05,34.7
