X_UTM_m,Y_UTM_m,Top_Reservoir_TVDSS_m,Gross_Thickness_m,Porosity_frac,Permeability_mD,Distance_to_Fault_m,SweetSpot_Index
491522.1,785874.2,2634.8,45.1,0.1,8.0,567.5,0.0
491522.1,786224.2,2630.0,53.4,0.128,9.4,597.8,0.0
491522.1,786574.2,2625.5,43.1,0.109,7.4,628.2,0.0
491522.1,786924.2,2621.3,38.4,0.119,7.2,658.5,0.0
491522.1,787274.2,2617.5,50.7,0.108,5.6,688.9,0.0
491522.1,787624.2,2614.0,49.1,0.106,6.9,719.2,0.0
491522.1,787974.2,2610.9,31.6,0.106,10.8,749.6,0.0
491522.1,788324.2,2608.0,46.0,0.1,8.1,779.9,0.0
491872.1,783074.2,2680.9,43.0,0.111,8.6,24.0,0.0
491872.1,783424.2,2673.2,45.0,0.104,4.2,6.3,0.0
491872.1,783774.2,2665.8,31.4,0.118,6.7,36.7,0.0
491872.1,784124.2,2658.8,34.6,0.109,9.7,67.0,0.0
491872.1,784474.2,2652.2,40.1,0.119,10.2,97.4,0.0
491872.1,784824.2,2645.9,38.1,0.094,6.0,127.7,0.0
491872.1,785174.2,2640.0,36.3,0.109,7.2,158.1,0.0
491872.1,785524.2,2634.4,37.0,0.123,4.9,188.4,0.0
491872.1,785874.2,2629.2,43.0,0.114,6.3,218.8,0.0
491872.1,786224.2,2624.4,35.7,0.107,6.6,249.1,0.0
491872.1,786574.2,2619.9,43.3,0.114,5.9,279.5,0.0
491872.1,786924.2,2615.7,46.5,0.094,5.1,309.8,0.0
491872.1,787274.2,2611.9,45.0,0.109,10.8,340.2,0.0
491872.1,787624.2,2608.4,43.3,0.106,7.0,370.5,0.0
491872.1,787974.2,2605.3,33.7,0.115,6.9,400.9,0.0
491872.1,788324.2,2602.4,47.3,0.124,6.7,431.2,0.0
491872.1,788674.2,2599.9,38.5,0.119,9.8,461.6,0.0
492222.1,782724.2,2683.5,46.4,0.101,6.4,189.1,0.0
492222.1,783074.2,2675.5,24.7,0.11,4.5,90.5,0.0
492222.1,783424.2,2667.8,35.0,0.119,10.8,8.1,0.0
492222.1,783774.2,2660.4,39.5,0.115,8.7,106.8,0.0
492222.1,784124.2,2653.4,46.1,0.113,10.8,205.4,0.0
492222.1,784474.2,2646.8,40.3,0.098,4.5,251.3,0.0
492222.1,784824.2,2640.5,45.6,0.108,7.6,220.9,0.0
492222.1,785174.2,2634.6,38.0,0.108,6.6,190.6,0.0
492222.1,785524.2,2629.0,38.9,0.118,7.7,160.2,0.0
492222.1,785874.2,2623.8,51.4,0.096,5.4,129.9,0.0
492222.1,786224.2,2619.0,48.6,0.091,5.6,99.5,0.0
492222.1,786574.2,2614.5,39.3,0.114,9.1,69.2,0.0
492222.1,786924.2,2610.3,34.6,0.113,7.1,38.8,0.0
492222.1,787274.2,2606.5,35.2,0.114,6.2,8.5,0.0
492222.1,787624.2,2603.0,32.8,0.102,5.7,21.9,0.0
492222.1,787974.2,2599.9,39.0,0.107,6.8,52.2,0.0
492222.1,788324.2,2597.0,43.0,0.094,7.9,82.6,0.0
492222.1,788674.2,2594.4,38.1,0.127,8.6,112.9,0.0
492222.1,789024.2,2592.1,29.6,0.113,6.4,143.3,0.0
492222.1,789374.2,2590.1,39.3,0.102,4.9,173.6,0.0
492572.1,782374.2,2686.6,35.7,0.103,9.2,623.6,0.0
492572.1,782724.2,2678.3,36.3,0.109,8.3,524.9,0.0
492572.1,783074.2,2670.2,44.8,0.11,8.4,426.3,0.0
492572.1,783424.2,2662.5,42.4,0.125,7.9,327.7,0.0
492572.1,783774.2,2655.2,36.3,0.103,6.6,229.1,0.0
492572.1,784124.2,2648.2,34.0,0.134,8.2,130.4,0.0
492572.1,784474.2,2641.5,28.5,0.104,8.3,31.8,0.0
492572.1,784824.2,2635.2,28.6,0.086,6.3,66.8,0.0
492572.1,785174.2,2629.3,43.6,0.123,7.8,165.5,0.0
492572.1,785524.2,2623.7,36.8,0.088,7.8,264.1,0.0
492572.1,785874.2,2618.5,38.8,0.124,9.0,362.7,0.0
492572.1,786224.2,2613.7,43.1,0.097,6.8,448.2,0.0
492572.1,786574.2,2609.2,48.1,0.109,8.0,417.9,0.0
492572.1,786924.2,2605.1,40.5,0.106,5.2,387.5,0.0
492572.1,787274.2,2601.3,44.1,0.123,6.5,357.2,0.0
492572.1,787624.2,2597.8,44.8,0.116,7.7,326.8,0.0
492572.1,787974.2,2594.6,34.8,0.098,7.3,296.5,0.0
492572.1,788324.2,2591.8,40.5,0.127,7.7,266.1,0.0
492572.1,788674.2,2589.2,46.0,0.099,5.1,235.8,0.0
492572.1,789024.2,2586.9,40.6,0.092,4.5,205.4,0.0
492572.1,789374.2,2584.9,38.0,0.09,7.4,175.1,0.0
492572.1,789724.2,2583.1,36.9,0.099,6.3,144.7,0.0
492922.1,782024.2,2690.2,32.4,0.118,6.4,1058.0,0.0
492922.1,782374.2,2681.5,44.2,0.121,6.4,959.4,0.0
492922.1,782724.2,2673.2,38.8,0.108,8.2,860.8,0.0
492922.1,783074.2,2665.1,38.3,0.116,6.8,762.1,0.0
492922.1,783424.2,2657.4,42.0,0.104,12.5,663.5,0.0
492922.1,783774.2,2650.1,38.6,0.13,9.1,564.9,0.0
492922.1,784124.2,2643.1,40.5,0.119,7.9,466.2,0.0
492922.1,784474.2,2636.4,33.3,0.115,8.7,367.6,0.0
492922.1,784824.2,2630.1,22.9,0.1,6.8,269.0,0.0
492922.1,785174.2,2624.2,34.6,0.095,7.6,170.3,0.0
492922.1,785524.2,2618.7,42.5,0.113,13.0,71.7,0.0
492922.1,785874.2,2613.5,29.5,0.117,9.0,26.9,0.0
492922.1,786224.2,2608.6,42.4,0.114,6.8,125.5,0.0
492922.1,786574.2,2604.1,38.1,0.109,8.2,224.2,0.0
492922.1,786924.2,2600.0,36.2,0.105,7.7,322.8,0.0
492922.1,787274.2,2596.2,31.9,0.107,5.6,421.4,0.0
492922.1,787624.2,2592.7,34.7,0.117,5.9,520.1,0.0
492922.1,787974.2,2589.5,43.0,0.118,7.8,618.7,0.0
492922.1,788324.2,2586.7,45.0,0.109,5.4,614.8,0.0
492922.1,788674.2,2584.1,44.8,0.124,7.1,584.4,0.0
492922.1,789024.2,2581.8,46.4,0.127,6.4,554.1,0.0
492922.1,789374.2,2579.8,28.9,0.138,9.6,523.7,0.0
492922.1,789724.2,2578.0,47.7,0.119,5.7,493.4,0.0
492922.1,790074.2,2576.4,35.8,0.107,5.9,463.0,0.0
493272.1,781674.2,2694.3,44.1,0.114,11.0,1492.5,0.0
493272.1,782024.2,2685.3,45.1,0.117,4.6,1393.8,0.0
493272.1,782374.2,2676.6,39.7,0.122,8.9,1295.2,0.0
493272.1,782724.2,2668.3,40.4,0.125,8.4,1196.6,0.0
493272.1,783074.2,2660.2,48.8,0.103,6.9,1097.9,0.0
493272.1,783424.2,2652.5,41.9,0.099,6.0,999.3,0.0
493272.1,783774.2,2645.2,44.4,0.108,5.4,900.7,0.0
493272.1,784124.2,2638.2,41.6,0.121,9.1,802.1,0.0
493272.1,784474.2,2631.5,33.8,0.11,9.8,703.4,0.0
493272.1,784824.2,2625.2,36.3,0.122,9.3,604.8,0.0
493272.1,785174.2,2619.3,48.7,0.106,9.3,506.2,0.0
493272.1,785524.2,2613.8,32.6,0.106,8.2,407.5,0.0
493272.1,785874.2,2608.6,48.3,0.137,8.8,308.9,0.0
493272.1,786224.2,2603.7,47.3,0.121,6.7,210.3,0.0
493272.1,786574.2,2599.2,34.3,0.103,7.5,111.6,0.0
493272.1,786924.2,2595.1,32.7,0.121,7.9,13.0,0.0
493272.1,787274.2,2591.3,32.7,0.099,8.7,85.6,0.0
493272.1,787624.2,2587.8,40.5,0.123,8.9,184.2,0.0
493272.1,787974.2,2584.6,47.0,0.107,8.9,282.9,0.0
493272.1,788324.2,2581.8,33.9,0.099,7.8,381.5,0.0
493272.1,788674.2,2579.2,39.0,0.098,6.9,480.1,0.0
493272.1,789024.2,2576.9,41.5,0.134,5.8,578.8,0.0
493272.1,789374.2,2574.9,49.2,0.101,5.9,677.4,0.0
493272.1,789724.2,2573.1,34.9,0.116,7.3,776.0,0.0
493272.1,790074.2,2571.5,41.6,0.104,7.5,803.4,0.0
493272.1,790424.2,2570.1,38.3,0.132,9.8,657.6,0.0
493622.1,779574.2,2749.0,48.2,0.114,5.8,2070.9,0.0
493622.1,779924.2,2738.6,43.2,0.123,7.6,2040.6,0.0
493622.1,780274.2,2728.3,44.0,0.1,5.2,2010.2,0.0
493622.1,780624.2,2718.2,38.4,0.122,9.1,1979.9,0.0
493622.1,780974.2,2708.4,36.3,0.128,8.2,1949.5,0.0
493622.1,781324.2,2698.9,32.6,0.111,7.5,1919.2,0.0
493622.1,781674.2,2689.6,56.2,0.117,6.9,1828.3,0.0
493622.1,782024.2,2680.6,35.7,0.115,6.6,1729.7,0.0
493622.1,782374.2,2671.9,52.3,0.116,8.2,1631.0,0.0
493622.1,782724.2,2663.5,47.8,0.106,10.0,1532.4,0.0
493622.1,783074.2,2655.5,45.2,0.13,7.4,1433.8,0.0
493622.1,783424.2,2647.8,39.3,0.121,7.0,1335.1,0.0
493622.1,783774.2,2640.4,45.1,0.121,10.7,1236.5,0.0
493622.1,784124.2,2633.4,45.7,0.111,5.4,1137.9,0.0
493622.1,784474.2,2626.8,46.4,0.12,11.2,1039.2,0.0
493622.1,784824.2,2620.5,39.6,0.14,5.9,940.6,0.0
493622.1,785174.2,2614.6,41.9,0.126,5.0,842.0,0.0
493622.1,785524.2,2609.0,40.2,0.109,9.6,743.3,0.0
493622.1,785874.2,2603.8,38.4,0.105,6.8,644.7,0.0
493622.1,786224.2,2599.0,46.0,0.139,9.6,546.1,0.0
493622.1,786574.2,2594.5,48.9,0.109,10.0,447.5,0.001
493622.1,786924.2,2590.3,38.9,0.113,7.4,348.8,0.001
493622.1,787274.2,2586.5,48.0,0.099,6.1,250.2,0.001
493622.1,787624.2,2583.0,32.7,0.105,5.3,151.6,0.001
493622.1,787974.2,2579.9,32.5,0.112,7.2,52.9,0.001
493622.1,788324.2,2577.0,31.5,0.109,7.8,45.7,0.001
493622.1,788674.2,2574.5,54.3,0.11,6.4,144.3,0.001
493622.1,789024.2,2572.2,34.7,0.103,10.3,243.0,0.0
493622.1,789374.2,2570.1,46.9,0.091,8.6,341.6,0.0
493622.1,789724.2,2568.3,46.0,0.117,7.6,440.2,0.0
493622.1,790074.2,2566.8,34.8,0.124,8.2,538.8,0.0
493622.1,790424.2,2565.4,46.9,0.095,8.6,637.5,0.0
493972.1,779574.2,2744.5,47.8,0.114,8.1,2244.4,0.001
493972.1,779924.2,2734.0,45.5,0.114,10.2,2246.4,0.0
493972.1,780274.2,2723.7,42.5,0.098,6.4,2248.4,0.0
493972.1,780624.2,2713.7,44.1,0.12,5.1,2250.4,0.0
493972.1,780974.2,2703.8,39.0,0.118,7.9,2252.4,0.0
493972.1,781324.2,2694.3,51.3,0.107,9.7,2254.4,0.0
493972.1,781674.2,2685.0,55.0,0.106,5.8,2164.1,0.0
493972.1,782024.2,2676.0,48.8,0.12,6.2,2065.5,0.0
493972.1,782374.2,2667.3,47.6,0.109,8.4,1966.8,0.0
493972.1,782724.2,2659.0,47.4,0.108,8.7,1868.2,0.0
493972.1,783074.2,2650.9,48.9,0.116,5.8,1769.6,0.0
493972.1,783424.2,2643.2,46.1,0.118,8.7,1670.9,0.0
493972.1,783774.2,2635.9,40.8,0.118,6.8,1572.3,0.0
493972.1,784124.2,2628.9,55.4,0.118,9.9,1473.7,0.0
493972.1,784474.2,2622.2,50.8,0.122,7.5,1375.1,0.0
493972.1,784824.2,2615.9,50.8,0.114,5.8,1276.4,0.001
493972.1,785174.2,2610.0,43.9,0.133,7.1,1177.8,0.001
493972.1,785524.2,2604.5,49.6,0.12,6.0,1079.2,0.001
493972.1,785874.2,2599.3,38.2,0.121,6.4,980.5,0.001
493972.1,786224.2,2594.4,44.3,0.122,7.1,881.9,0.001
493972.1,786574.2,2589.9,51.6,0.11,6.7,783.3,0.001
493972.1,786924.2,2585.8,50.1,0.123,6.6,684.6,0.001
493972.1,787274.2,2582.0,39.9,0.123,6.9,586.0,0.001
493972.1,787624.2,2578.5,40.1,0.12,13.8,487.4,0.001
493972.1,787974.2,2575.3,49.5,0.117,6.4,388.8,0.001
493972.1,788324.2,2572.5,35.5,0.102,6.5,290.1,0.001
493972.1,788674.2,2569.9,36.0,0.105,5.4,191.5,0.001
493972.1,789024.2,2567.6,40.9,0.102,7.6,92.9,0.001
493972.1,789374.2,2565.6,50.9,0.122,5.4,5.8,0.001
493972.1,789724.2,2563.8,31.6,0.116,7.1,104.4,0.001
493972.1,790074.2,2562.2,47.4,0.125,5.8,203.0,0.001
493972.1,790424.2,2560.8,47.9,0.099,7.1,301.7,0.001
494322.1,779224.2,2750.8,42.8,0.114,8.0,1892.4,0.001
494322.1,779574.2,2740.1,38.2,0.108,6.7,1894.4,0.001
494322.1,779924.2,2729.6,46.9,0.101,4.4,1896.4,0.001
494322.1,780274.2,2719.3,47.2,0.121,5.9,1898.4,0.0
494322.1,780624.2,2709.3,39.4,0.105,8.6,1900.4,0.0
494322.1,780974.2,2699.5,51.2,0.101,5.7,1902.4,0.0
494322.1,781324.2,2689.9,54.0,0.112,7.1,1904.4,0.0
494322.1,781674.2,2680.6,40.3,0.124,9.2,1906.4,0.0
494322.1,782024.2,2671.6,46.3,0.117,6.0,1908.4,0.0
494322.1,782374.2,2663.0,31.8,0.125,8.9,1910.4,0.0
494322.1,782724.2,2654.6,56.2,0.107,5.5,1912.4,0.0
494322.1,783074.2,2646.5,39.0,0.105,6.6,1914.4,0.0
494322.1,783424.2,2638.8,58.5,0.111,4.4,1916.4,0.0
494322.1,783774.2,2631.5,41.2,0.116,8.7,1908.1,0.001
494322.1,784124.2,2624.5,41.1,0.11,4.8,1809.5,0.001
494322.1,784474.2,2617.8,53.5,0.11,7.4,1710.9,0.001
494322.1,784824.2,2611.6,48.5,0.107,6.9,1612.2,0.001
494322.1,785174.2,2605.6,49.4,0.122,5.4,1513.6,0.001
494322.1,785524.2,2600.1,42.2,0.118,7.9,1415.0,0.001
494322.1,785874.2,2594.9,29.5,0.124,6.6,1316.4,0.001
494322.1,786224.2,2590.0,54.4,0.108,7.8,1217.7,0.001
494322.1,786574.2,2585.5,43.0,0.116,7.6,1119.1,0.001
494322.1,786924.2,2581.4,52.1,0.128,11.9,1020.5,0.001
494322.1,787274.2,2577.6,47.5,0.115,8.8,921.8,0.001
494322.1,787624.2,2574.1,48.2,0.112,8.5,823.2,0.001
494322.1,787974.2,2570.9,30.8,0.133,6.3,724.6,0.001
494322.1,788324.2,2568.1,44.6,0.126,12.6,625.9,0.001
494322.1,788674.2,2565.5,31.8,0.115,8.4,527.3,0.001
494322.1,789024.2,2563.2,39.7,0.106,4.9,428.7,0.001
494322.1,789374.2,2561.2,43.8,0.121,11.3,330.1,0.001
494322.1,789724.2,2559.4,37.3,0.125,10.0,231.4,0.001
494322.1,790074.2,2557.8,38.6,0.107,6.0,132.8,0.001
494322.1,790424.2,2556.5,45.4,0.111,7.0,34.2,0.001
494322.1,790774.2,2555.3,38.7,0.107,3.3,64.5,0.001
494672.1,779224.2,2746.6,41.5,0.115,6.8,1542.4,0.001
494672.1,779574.2,2735.9,47.0,0.127,6.4,1544.4,0.001
494672.1,779924.2,2725.4,43.3,0.093,6.5,1546.4,0.001
494672.1,780274.2,2715.1,49.1,0.134,10.8,1548.4,0.001
494672.1,780624.2,2705.1,46.0,0.124,7.0,1550.4,0.0
494672.1,780974.2,2695.3,41.0,0.128,12.8,1552.4,0.0
494672.1,781324.2,2685.7,41.2,0.126,6.7,1554.4,0.0
494672.1,781674.2,2676.4,44.9,0.108,5.3,1556.4,0.0
494672.1,782024.2,2667.4,38.3,0.12,9.0,1558.4,0.0
494672.1,782374.2,2658.7,58.1,0.109,7.3,1560.4,0.0
494672.1,782724.2,2650.4,41.9,0.112,7.5,1562.4,0.001
494672.1,783074.2,2642.3,49.8,0.113,6.1,1564.4,0.001
494672.1,783424.2,2634.6,56.0,0.113,5.5,1566.4,0.001
494672.1,783774.2,2627.3,41.4,0.121,7.0,1568.4,0.001
494672.1,784124.2,2620.3,50.6,0.105,8.2,1570.4,0.001
494672.1,784474.2,2613.6,41.0,0.106,6.9,1572.4,0.001
494672.1,784824.2,2607.3,32.5,0.108,8.2,1574.4,0.001
494672.1,785174.2,2601.4,58.4,0.134,12.6,1576.4,0.001
494672.1,785524.2,2595.9,50.6,0.138,7.0,1578.4,0.002
494672.1,785874.2,2590.7,46.4,0.13,10.6,1580.4,0.002
494672.1,786224.2,2585.8,50.1,0.102,7.4,1553.5,0.002
494672.1,786574.2,2581.3,41.1,0.117,9.7,1454.9,0.002
494672.1,786924.2,2577.2,50.4,0.12,5.7,1356.3,0.002
494672.1,787274.2,2573.4,55.2,0.132,7.7,1257.6,0.002
494672.1,787624.2,2569.9,43.3,0.117,7.4,1159.0,0.002
494672.1,787974.2,2566.7,46.9,0.122,7.3,1060.4,0.002
494672.1,788324.2,2563.9,42.7,0.115,6.6,961.8,0.002
494672.1,788674.2,2561.3,28.3,0.128,8.1,863.1,0.002
494672.1,789024.2,2559.0,37.6,0.12,9.8,764.5,0.002
494672.1,789374.2,2557.0,37.0,0.125,7.6,665.9,0.002
494672.1,789724.2,2555.2,40.1,0.127,11.7,567.2,0.001
494672.1,790074.2,2553.6,46.1,0.125,6.7,468.6,0.001
494672.1,790424.2,2552.3,36.2,0.117,10.5,370.0,0.001
494672.1,790774.2,2551.1,41.9,0.101,7.0,271.3,0.001
495022.1,778874.2,2753.4,34.8,0.113,6.5,1190.4,0.002
495022.1,779224.2,2742.5,39.0,0.124,10.4,1192.4,0.002
495022.1,779574.2,2731.9,41.0,0.132,7.9,1194.4,0.001
495022.1,779924.2,2721.4,42.9,0.102,6.5,1196.4,0.001
495022.1,780274.2,2711.1,48.1,0.136,8.1,1198.4,0.001
495022.1,780624.2,2701.0,47.4,0.113,6.8,1200.4,0.001
495022.1,780974.2,2691.2,35.8,0.119,5.9,1202.4,0.001
495022.1,781324.2,2681.7,49.3,0.125,7.7,1204.4,0.001
495022.1,781674.2,2672.4,50.6,0.112,8.9,1206.4,0.001
495022.1,782024.2,2663.4,39.3,0.111,7.2,1208.4,0.001
495022.1,782374.2,2654.7,39.5,0.124,5.8,1210.4,0.001
495022.1,782724.2,2646.4,59.4,0.111,5.8,1212.4,0.001
495022.1,783074.2,2638.3,34.7,0.114,6.3,1214.4,0.001
495022.1,783424.2,2630.6,39.3,0.101,8.4,1216.4,0.001
495022.1,783774.2,2623.3,42.3,0.121,11.0,1218.4,0.001
495022.1,784124.2,2616.3,56.5,0.131,6.5,1220.4,0.001
495022.1,784474.2,2609.6,35.5,0.112,6.7,1222.4,0.002
495022.1,784824.2,2603.3,46.9,0.119,11.8,1224.4,0.002
495022.1,785174.2,2597.4,53.9,0.119,5.8,1226.4,0.002
495022.1,785524.2,2591.8,45.9,0.113,9.8,1228.4,0.002
495022.1,785874.2,2586.6,43.9,0.131,7.7,1230.4,0.002
495022.1,786224.2,2581.8,38.7,0.122,5.9,1232.4,0.003
495022.1,786574.2,2577.3,48.6,0.109,8.3,1234.4,0.003
495022.1,786924.2,2573.2,44.9,0.116,6.3,1236.4,0.003
495022.1,787274.2,2569.3,47.1,0.119,6.8,1238.4,0.003
495022.1,787624.2,2565.9,40.2,0.115,7.5,1240.4,0.003
495022.1,787974.2,2562.7,50.7,0.114,7.9,1242.4,0.003
495022.1,788324.2,2559.8,39.7,0.122,7.6,1244.4,0.003
495022.1,788674.2,2557.3,39.4,0.126,7.6,1198.9,0.003
495022.1,789024.2,2555.0,35.2,0.115,7.0,1100.3,0.003
495022.1,789374.2,2553.0,53.7,0.134,8.5,1001.7,0.002
495022.1,789724.2,2551.2,41.9,0.118,8.2,903.1,0.002
495022.1,790074.2,2549.6,44.8,0.111,4.4,804.4,0.002
495022.1,790424.2,2548.2,46.4,0.11,4.8,705.8,0.002
495022.1,790774.2,2547.0,42.4,0.107,10.4,607.2,0.002
495372.1,778874.2,2749.5,41.7,0.108,6.6,840.4,0.003
495372.1,779224.2,2738.7,42.0,0.109,5.9,842.4,0.002
495372.1,779574.2,2728.0,36.4,0.107,10.4,844.4,0.002
495372.1,779924.2,2717.5,52.0,0.104,8.6,846.4,0.001
495372.1,780274.2,2707.3,41.4,0.119,7.3,848.4,0.001
495372.1,780624.2,2697.2,46.8,0.119,6.8,850.4,0.001
495372.1,780974.2,2687.4,45.1,0.117,8.6,852.4,0.001
495372.1,781324.2,2677.8,38.3,0.11,6.3,854.4,0.001
495372.1,781674.2,2668.6,43.6,0.106,10.0,856.4,0.001
495372.1,782024.2,2659.6,42.1,0.106,8.3,858.4,0.001
495372.1,782374.2,2650.9,34.0,0.113,7.2,860.4,0.001
495372.1,782724.2,2642.5,44.1,0.108,10.6,862.4,0.001
495372.1,783074.2,2634.5,43.8,0.096,7.8,864.4,0.001
495372.1,783424.2,2626.8,37.5,0.109,8.7,866.4,0.002
495372.1,783774.2,2619.4,41.2,0.12,6.6,868.4,0.002
495372.1,784124.2,2612.4,45.6,0.119,5.8,870.4,0.002
495372.1,784474.2,2605.8,53.2,0.119,7.5,872.4,0.002
495372.1,784824.2,2599.5,45.3,0.107,10.1,874.4,0.003
495372.1,785174.2,2593.6,44.4,0.125,7.8,876.4,0.003
495372.1,785524.2,2588.0,45.3,0.124,9.1,878.4,0.003
495372.1,785874.2,2582.8,36.8,0.123,9.2,880.4,0.004
495372.1,786224.2,2577.9,40.8,0.108,6.7,882.4,0.004
495372.1,786574.2,2573.5,44.5,0.123,8.1,884.4,0.004
495372.1,786924.2,2569.3,49.3,0.103,7.7,886.4,0.004
495372.1,787274.2,2565.5,50.6,0.112,10.3,888.4,0.004
495372.1,787624.2,2562.0,34.5,0.113,6.5,890.4,0.004
495372.1,787974.2,2558.9,29.6,0.12,7.6,892.4,0.004
495372.1,788324.2,2556.0,48.1,0.121,7.6,894.4,0.004
495372.1,788674.2,2553.4,50.2,0.145,11.3,896.4,0.004
495372.1,789024.2,2551.1,40.8,0.121,13.6,898.4,0.004
495372.1,789374.2,2549.1,53.7,0.12,8.3,900.4,0.004
495372.1,789724.2,2547.3,44.2,0.129,11.3,902.4,0.003
495372.1,790074.2,2545.7,33.0,0.108,8.8,904.4,0.003
495372.1,790424.2,2544.4,49.0,0.12,9.7,906.4,0.003
495372.1,790774.2,2543.2,44.4,0.127,10.0,908.4,0.002
495372.1,791124.2,2542.2,36.9,0.111,6.0,844.3,0.002
495722.1,778524.2,2756.8,35.9,0.11,7.7,488.4,0.005
495722.1,778874.2,2745.8,58.0,0.1,5.9,490.4,0.004
495722.1,779224.2,2735.0,42.9,0.106,9.0,492.4,0.003
495722.1,779574.2,2724.4,38.2,0.109,5.0,494.4,0.003
495722.1,779924.2,2713.9,41.8,0.114,8.5,496.4,0.002
495722.1,780274.2,2703.6,38.7,0.113,5.9,498.4,0.002
495722.1,780624.2,2693.5,43.4,0.114,7.2,500.4,0.001
495722.1,780974.2,2683.7,39.3,0.123,9.4,502.4,0.001
495722.1,781324.2,2674.2,46.6,0.134,6.8,504.4,0.001
495722.1,781674.2,2664.9,33.2,0.099,7.2,506.4,0.001
495722.1,782024.2,2655.9,36.6,0.113,5.7,508.4,0.001
495722.1,782374.2,2647.2,33.0,0.105,5.8,510.4,0.001
495722.1,782724.2,2638.8,39.0,0.112,7.8,512.4,0.002
495722.1,783074.2,2630.8,48.1,0.121,7.0,514.4,0.002
495722.1,783424.2,2623.1,38.7,0.11,5.7,516.4,0.002
495722.1,783774.2,2615.8,34.4,0.131,11.3,518.4,0.003
495722.1,784124.2,2608.7,47.8,0.107,5.6,520.4,0.003
495722.1,784474.2,2602.1,42.8,0.11,9.7,522.4,0.003
495722.1,784824.2,2595.8,47.3,0.115,10.1,524.4,0.004
495722.1,785174.2,2589.9,35.4,0.111,9.5,526.4,0.004
495722.1,785524.2,2584.3,43.2,0.098,6.8,528.4,0.005
495722.1,785874.2,2579.1,40.5,0.118,16.3,530.4,0.005
495722.1,786224.2,2574.3,30.2,0.111,13.6,532.4,0.005
495722.1,786574.2,2569.8,29.9,0.112,5.3,534.4,0.006
495722.1,786924.2,2565.6,49.9,0.094,6.3,536.4,0.006
495722.1,787274.2,2561.8,31.6,0.114,8.4,538.4,0.006
495722.1,787624.2,2558.4,40.9,0.099,6.1,540.4,0.006
495722.1,787974.2,2555.2,38.5,0.125,11.6,542.4,0.006
495722.1,788324.2,2552.3,35.5,0.123,8.8,544.4,0.006
495722.1,788674.2,2549.8,43.9,0.127,7.5,546.4,0.006
