Well_ID,Well_Name,Zone_Order,Formation,Lithology_Class,Top_TVDSS_m,Base_TVDSS_m,Gross_Thickness_m,Net_to_Gross_frac,Porosity_frac,Permeability_mD,Water_Saturation_frac,Vshale_frac
KW-0004,Kimbala-0004,7,Shale_D,Shale,2806.0,2890.4,84.5,0.053,0.05,1.3,0.887,0.777
KW-0004,Kimbala-0004,8,Sand_D,ReservoirSand,2890.4,3004.0,113.6,0.413,0.123,3.1,0.545,0.213
KW-0005,Kimbala-0005,1,Shale_A,Shale,2431.5,2452.1,20.6,0.113,0.089,0.6,0.923,0.644
KW-0005,Kimbala-0005,2,Sand_A,ReservoirSand,2452.1,2470.1,17.9,0.365,0.138,25.8,0.588,0.145
KW-0005,Kimbala-0005,3,Shale_B,Shale,2470.1,2497.7,27.7,0.09,0.064,2.9,0.988,0.821
KW-0005,Kimbala-0005,4,Sand_B,ReservoirSand,2497.7,2524.9,27.2,0.329,0.151,17.5,0.411,0.301
KW-0005,Kimbala-0005,5,Shale_C,Shale,2524.9,2555.9,31.1,0.11,0.06,0.9,0.907,0.778
KW-0005,Kimbala-0005,6,Sand_C,ReservoirSand,2555.9,2597.5,41.5,0.163,0.129,17.3,0.523,0.371
KW-0005,Kimbala-0005,7,Shale_D,Shale,2597.5,2637.4,39.9,0.081,0.091,1.3,0.874,0.647
KW-0005,Kimbala-0005,8,Sand_D,ReservoirSand,2637.4,2686.0,48.6,0.444,0.134,25.7,0.44,0.158
KW-0006,Kimbala-0006,1,Shale_A,Shale,2430.2,2446.5,16.3,0.072,0.063,0.9,0.932,0.628
KW-0006,Kimbala-0006,2,Sand_A,ReservoirSand,2446.5,2462.5,16.0,0.548,0.126,20.8,0.315,0.255
KW-0006,Kimbala-0006,3,Shale_B,Shale,2462.5,2485.2,22.7,0.064,0.027,0.3,0.894,0.751
KW-0006,Kimbala-0006,4,Sand_B,ReservoirSand,2485.2,2507.6,22.4,0.374,0.149,7.6,0.554,0.187
KW-0006,Kimbala-0006,5,Shale_C,Shale,2507.6,2533.8,26.3,0.067,0.094,1.1,0.859,0.618
KW-0006,Kimbala-0006,6,Sand_C,ReservoirSand,2533.8,2563.4,29.5,0.272,0.162,9.5,0.489,0.254
KW-0006,Kimbala-0006,7,Shale_D,Shale,2563.4,2596.1,32.8,0.114,0.062,0.5,0.939,0.709
KW-0006,Kimbala-0006,8,Sand_D,ReservoirSand,2596.1,2634.1,38.0,0.401,0.183,15.4,0.571,0.282
KW-0007,Kimbala-0007,1,Shale_A,Shale,2512.9,2547.3,34.4,0.105,0.063,0.9,0.965,0.665
KW-0007,Kimbala-0007,2,Sand_A,ReservoirSand,2547.3,2579.9,32.6,0.444,0.151,53.3,0.474,0.163
KW-0007,Kimbala-0007,3,Shale_B,Shale,2579.9,2627.1,47.2,0.093,0.045,0.9,0.921,0.643
KW-0007,Kimbala-0007,4,Sand_B,ReservoirSand,2627.1,2671.0,44.0,0.593,0.18,64.6,0.324,0.195
KW-0007,Kimbala-0007,5,Shale_C,Shale,2671.0,2715.9,44.9,0.024,0.049,1.4,0.926,0.65
KW-0007,Kimbala-0007,6,Sand_C,ReservoirSand,2715.9,2781.4,65.5,0.571,0.169,33.9,0.436,0.186
KW-0007,Kimbala-0007,7,Shale_D,Shale,2781.4,2835.0,53.6,0.067,0.054,0.2,0.919,0.59
KW-0007,Kimbala-0007,8,Sand_D,ReservoirSand,2835.0,2911.3,76.3,0.457,0.169,76.6,0.312,0.204
KW-0008,Kimbala-0008,1,Shale_A,Shale,2422.4,2477.8,55.4,0.082,0.058,0.3,0.906,0.722
KW-0008,Kimbala-0008,2,Sand_A,ReservoirSand,2477.8,2525.1,47.3,0.445,0.182,81.7,0.501,0.157
KW-0008,Kimbala-0008,3,Shale_B,Shale,2525.1,2595.3,70.2,0.054,0.069,0.8,0.934,0.701
KW-0008,Kimbala-0008,4,Sand_B,ReservoirSand,2595.3,2679.5,84.2,0.506,0.167,175.8,0.484,0.252
KW-0008,Kimbala-0008,5,Shale_C,Shale,2679.5,2747.4,67.9,0.029,0.047,0.4,0.942,0.795
KW-0008,Kimbala-0008,6,Sand_C,ReservoirSand,2747.4,2862.0,114.7,0.572,0.18,124.2,0.381,0.163
KW-0008,Kimbala-0008,7,Shale_D,Shale,2862.0,2963.7,101.7,0.107,0.041,1.3,0.903,0.634
KW-0008,Kimbala-0008,8,Sand_D,ReservoirSand,2963.7,3087.2,123.5,0.555,0.205,168.0,0.532,0.318
KW-0009,Kimbala-0009,1,Shale_A,Shale,2613.8,2664.5,50.7,0.088,0.079,1.1,0.964,0.708
KW-0009,Kimbala-0009,2,Sand_A,ReservoirSand,2664.5,2708.2,43.6,0.547,0.147,42.7,0.535,0.17
KW-0009,Kimbala-0009,3,Shale_B,Shale,2708.2,2782.0,73.8,0.118,0.06,0.5,0.954,0.569
KW-0009,Kimbala-0009,4,Sand_B,ReservoirSand,2782.0,2860.0,77.9,0.409,0.164,75.7,0.564,0.218
KW-0009,Kimbala-0009,5,Shale_C,Shale,2860.0,2920.7,60.7,0.086,0.053,0.2,0.917,0.705
KW-0009,Kimbala-0009,6,Sand_C,ReservoirSand,2920.7,3017.4,96.7,0.356,0.169,47.1,0.533,0.168
KW-0009,Kimbala-0009,7,Shale_D,Shale,3017.4,3114.2,96.8,0.057,0.057,1.4,0.896,0.572
KW-0009,Kimbala-0009,8,Sand_D,ReservoirSand,3114.2,3229.3,115.1,0.373,0.119,37.6,0.524,0.183
KW-0010,Kimbala-0010,1,Shale_A,Shale,2480.2,2512.3,32.1,0.066,0.05,0.5,0.946,0.629
KW-0010,Kimbala-0010,2,Sand_A,ReservoirSand,2512.3,2537.8,25.6,0.391,0.125,9.7,0.467,0.214
KW-0010,Kimbala-0010,3,Shale_B,Shale,2537.8,2579.2,41.4,0.086,0.081,1.3,0.851,0.805
KW-0010,Kimbala-0010,4,Sand_B,ReservoirSand,2579.2,2623.7,44.5,0.275,0.163,8.8,0.53,0.17
KW-0010,Kimbala-0010,5,Shale_C,Shale,2623.7,2673.8,50.2,0.116,0.03,2.3,0.957,0.769
KW-0010,Kimbala-0010,6,Sand_C,ReservoirSand,2673.8,2734.2,60.4,0.186,0.17,54.1,0.608,0.224
KW-0010,Kimbala-0010,7,Shale_D,Shale,2734.2,2795.9,61.6,0.116,0.042,1.0,0.934,0.703
KW-0010,Kimbala-0010,8,Sand_D,ReservoirSand,2795.9,2880.3,84.4,0.232,0.156,39.2,0.606,0.204
KW-0011,Kimbala-0011,1,Shale_A,Shale,2617.1,2653.6,36.5,0.085,0.058,1.1,0.922,0.691
KW-0011,Kimbala-0011,2,Sand_A,ReservoirSand,2653.6,2685.7,32.1,0.493,0.13,62.8,0.451,0.148
KW-0011,Kimbala-0011,3,Shale_B,Shale,2685.7,2735.4,49.7,0.092,0.048,0.9,0.958,0.742
KW-0011,Kimbala-0011,4,Sand_B,ReservoirSand,2735.4,2780.8,45.4,0.519,0.154,47.5,0.42,0.303
KW-0011,Kimbala-0011,5,Shale_C,Shale,2780.8,2839.8,59.0,0.149,0.074,1.5,0.88,0.8
KW-0011,Kimbala-0011,6,Sand_C,ReservoirSand,2839.8,2903.7,63.9,0.441,0.134,88.4,0.487,0.146
KW-0011,Kimbala-0011,7,Shale_D,Shale,2903.7,2976.2,72.5,0.059,0.031,0.8,0.901,0.717
KW-0011,Kimbala-0011,8,Sand_D,ReservoirSand,2976.2,3054.6,78.4,0.637,0.161,87.3,0.485,0.233
KW-0012,Kimbala-0012,1,Shale_A,Shale,2830.7,2859.4,28.7,0.109,0.062,1.1,0.883,0.723
KW-0012,Kimbala-0012,2,Sand_A,ReservoirSand,2859.4,2882.5,23.0,0.4,0.13,33.6,0.715,0.266
KW-0012,Kimbala-0012,3,Shale_B,Shale,2882.5,2916.7,34.2,0.099,0.078,1.2,0.917,0.859
KW-0012,Kimbala-0012,4,Sand_B,ReservoirSand,2916.7,2953.4,36.8,0.316,0.138,10.6,0.666,0.317
KW-0012,Kimbala-0012,5,Shale_C,Shale,2953.4,2989.5,36.1,0.093,0.051,0.6,0.959,0.76
KW-0012,Kimbala-0012,6,Sand_C,ReservoirSand,2989.5,3042.6,53.1,0.365,0.154,15.2,0.635,0.266
KW-0012,Kimbala-0012,7,Shale_D,Shale,3042.6,3092.9,50.3,0.063,0.025,1.0,0.939,0.821
KW-0012,Kimbala-0012,8,Sand_D,ReservoirSand,3092.9,3157.0,64.0,0.49,0.146,15.2,0.604,0.235
KW-0013,Kimbala-0013,1,Shale_A,Shale,2763.5,2794.3,30.8,0.066,0.068,0.5,0.979,0.589
KW-0013,Kimbala-0013,2,Sand_A,ReservoirSand,2794.3,2819.1,24.9,0.398,0.15,25.6,0.496,0.3
KW-0013,Kimbala-0013,3,Shale_B,Shale,2819.1,2855.7,36.5,0.119,0.066,0.7,0.922,0.805
KW-0013,Kimbala-0013,4,Sand_B,ReservoirSand,2855.7,2899.0,43.3,0.443,0.121,13.4,0.676,0.276
KW-0013,Kimbala-0013,5,Shale_C,Shale,2899.0,2930.8,31.8,0.094,0.048,0.4,0.943,0.637
KW-0013,Kimbala-0013,6,Sand_C,ReservoirSand,2930.8,2984.3,53.5,0.341,0.116,57.3,0.565,0.158
KW-0013,Kimbala-0013,7,Shale_D,Shale,2984.3,3038.5,54.2,0.077,0.064,4.1,0.933,0.813
KW-0013,Kimbala-0013,8,Sand_D,ReservoirSand,3038.5,3106.2,67.7,0.384,0.159,25.9,0.474,0.179
KW-0014,Kimbala-0014,1,Shale_A,Shale,2442.8,2469.8,27.0,0.112,0.049,0.8,0.884,0.761
KW-0014,Kimbala-0014,2,Sand_A,ReservoirSand,2469.8,2496.0,26.2,0.508,0.149,22.0,0.601,0.176
KW-0014,Kimbala-0014,3,Shale_B,Shale,2496.0,2532.3,36.2,0.07,0.06,0.9,0.88,0.767
KW-0014,Kimbala-0014,4,Sand_B,ReservoirSand,2532.3,2577.6,45.3,0.432,0.151,27.6,0.644,0.125
KW-0014,Kimbala-0014,5,Shale_C,Shale,2577.6,2622.5,44.8,0.108,0.049,0.6,0.915,0.593
KW-0014,Kimbala-0014,6,Sand_C,ReservoirSand,2622.5,2676.0,53.6,0.457,0.142,25.6,0.688,0.31
KW-0014,Kimbala-0014,7,Shale_D,Shale,2676.0,2730.6,54.6,0.06,0.051,0.3,0.925,0.754
KW-0014,Kimbala-0014,8,Sand_D,ReservoirSand,2730.6,2799.6,69.0,0.611,0.137,26.5,0.674,0.308
KW-0015,Kimbala-0015,1,Shale_A,Shale,2646.2,2671.3,25.1,0.043,0.065,0.5,0.915,0.6
KW-0015,Kimbala-0015,2,Sand_A,ReservoirSand,2671.3,2692.7,21.4,0.684,0.141,8.4,0.605,0.407
KW-0015,Kimbala-0015,3,Shale_B,Shale,2692.7,2725.1,32.4,0.078,0.068,0.5,0.91,0.727
KW-0015,Kimbala-0015,4,Sand_B,ReservoirSand,2725.1,2763.2,38.1,0.428,0.166,20.7,0.722,0.366
KW-0015,Kimbala-0015,5,Shale_C,Shale,2763.2,2796.7,33.5,0.051,0.065,0.8,0.914,0.752
KW-0015,Kimbala-0015,6,Sand_C,ReservoirSand,2796.7,2845.6,48.9,0.553,0.096,11.7,0.629,0.157
KW-0015,Kimbala-0015,7,Shale_D,Shale,2845.6,2893.8,48.2,0.051,0.06,1.9,0.908,0.847
KW-0015,Kimbala-0015,8,Sand_D,ReservoirSand,2893.8,2947.7,53.9,0.396,0.109,6.6,0.631,0.181
KW-0016,Kimbala-0016,1,Shale_A,Shale,2555.2,2611.2,56.0,0.089,0.05,0.8,0.877,0.624
KW-0016,Kimbala-0016,2,Sand_A,ReservoirSand,2611.2,2664.8,53.6,0.414,0.135,27.2,0.484,0.405
KW-0016,Kimbala-0016,3,Shale_B,Shale,2664.8,2738.4,73.6,0.106,0.056,0.8,0.871,0.634
KW-0016,Kimbala-0016,4,Sand_B,ReservoirSand,2738.4,2823.6,85.2,0.479,0.126,9.0,0.499,0.245
KW-0016,Kimbala-0016,5,Shale_C,Shale,2823.6,2906.8,83.1,0.076,0.064,1.6,0.912,0.611
KW-0016,Kimbala-0016,6,Sand_C,ReservoirSand,2906.8,3016.4,109.6,0.328,0.118,6.7,0.543,0.215
KW-0016,Kimbala-0016,7,Shale_D,Shale,3016.4,3108.4,92.0,0.054,0.062,1.1,0.92,0.704
KW-0016,Kimbala-0016,8,Sand_D,ReservoirSand,3108.4,3243.3,134.9,0.249,0.134,11.1,0.625,0.323
KW-0017,Kimbala-0017,1,Shale_A,Shale,2452.6,2480.2,27.6,0.103,0.068,1.5,0.951,0.567
KW-0017,Kimbala-0017,2,Sand_A,ReservoirSand,2480.2,2504.9,24.7,0.39,0.213,6.4,0.607,0.065
KW-0017,Kimbala-0017,3,Shale_B,Shale,2504.9,2543.8,38.9,0.087,0.053,0.4,0.878,0.801
KW-0017,Kimbala-0017,4,Sand_B,ReservoirSand,2543.8,2587.0,43.2,0.451,0.172,10.9,0.598,0.286
KW-0017,Kimbala-0017,5,Shale_C,Shale,2587.0,2622.4,35.4,0.067,0.044,0.3,0.921,0.617
KW-0017,Kimbala-0017,6,Sand_C,ReservoirSand,2622.4,2671.0,48.6,0.575,0.15,3.8,0.641,0.324
KW-0017,Kimbala-0017,7,Shale_D,Shale,2671.0,2718.4,47.4,0.074,0.045,2.1,0.927,0.704
KW-0017,Kimbala-0017,8,Sand_D,ReservoirSand,2718.4,2779.7,61.4,0.47,0.134,8.1,0.42,0.364
KW-0018,Kimbala-0018,1,Shale_A,Shale,2829.2,2861.6,32.4,0.081,0.045,0.6,0.924,0.874
KW-0018,Kimbala-0018,2,Sand_A,ReservoirSand,2861.6,2891.5,29.9,0.22,0.096,3.4,0.571,0.391
KW-0018,Kimbala-0018,3,Shale_B,Shale,2891.5,2937.3,45.8,0.088,0.037,0.4,0.885,0.607
KW-0018,Kimbala-0018,4,Sand_B,ReservoirSand,2937.3,2989.8,52.5,0.435,0.112,6.3,0.686,0.108
KW-0018,Kimbala-0018,5,Shale_C,Shale,2989.8,3042.1,52.3,0.096,0.046,1.1,0.955,0.848
KW-0018,Kimbala-0018,6,Sand_C,ReservoirSand,3042.1,3111.1,69.0,0.334,0.079,3.9,0.611,0.212
KW-0018,Kimbala-0018,7,Shale_D,Shale,3111.1,3187.5,76.4,0.091,0.048,0.5,0.967,0.655
KW-0018,Kimbala-0018,8,Sand_D,ReservoirSand,3187.5,3277.4,89.9,0.304,0.127,6.0,0.594,0.153
KW-0019,Kimbala-0019,1,Shale_A,Shale,2587.3,2622.7,35.4,0.041,0.052,0.6,0.886,0.772
KW-0019,Kimbala-0019,2,Sand_A,ReservoirSand,2622.7,2654.2,31.5,0.428,0.168,9.9,0.775,0.322
KW-0019,Kimbala-0019,3,Shale_B,Shale,2654.2,2702.7,48.6,0.046,0.041,1.4,0.961,0.722
KW-0019,Kimbala-0019,4,Sand_B,ReservoirSand,2702.7,2757.9,55.2,0.496,0.157,22.8,0.686,0.325
KW-0019,Kimbala-0019,5,Shale_C,Shale,2757.9,2813.0,55.1,0.054,0.074,1.6,0.918,0.572
KW-0019,Kimbala-0019,6,Sand_C,ReservoirSand,2813.0,2878.6,65.6,0.407,0.157,18.7,0.601,0.194
KW-0019,Kimbala-0019,7,Shale_D,Shale,2878.6,2945.2,66.6,0.071,0.07,0.7,0.865,0.63
KW-0019,Kimbala-0019,8,Sand_D,ReservoirSand,2945.2,3029.7,84.5,0.418,0.173,91.5,0.592,0.204
KW-0020,Kimbala-0020,1,Shale_A,Shale,2410.5,2429.5,19.0,0.12,0.052,0.6,0.902,0.575
KW-0020,Kimbala-0020,2,Sand_A,ReservoirSand,2429.5,2448.8,19.2,0.402,0.148,14.6,0.738,0.253
KW-0020,Kimbala-0020,3,Shale_B,Shale,2448.8,2477.8,29.0,0.16,0.055,0.6,0.91,0.67
KW-0020,Kimbala-0020,4,Sand_B,ReservoirSand,2477.8,2513.0,35.2,0.463,0.101,17.9,0.65,0.304
KW-0020,Kimbala-0020,5,Shale_C,Shale,2513.0,2545.1,32.2,0.093,0.064,0.8,0.907,0.75
KW-0020,Kimbala-0020,6,Sand_C,ReservoirSand,2545.1,2589.9,44.8,0.418,0.105,6.0,0.736,0.152
KW-0020,Kimbala-0020,7,Shale_D,Shale,2589.9,2630.6,40.7,0.059,0.059,1.1,0.95,0.712
KW-0020,Kimbala-0020,8,Sand_D,ReservoirSand,2630.6,2682.0,51.4,0.377,0.122,4.8,0.774,0.298
KW-0021,Kimbala-0021,1,Shale_A,Shale,2584.6,2608.9,24.3,0.068,0.048,0.8,0.883,0.633
KW-0021,Kimbala-0021,2,Sand_A,ReservoirSand,2608.9,2628.8,19.9,0.374,0.122,4.4,0.688,0.147
KW-0021,Kimbala-0021,3,Shale_B,Shale,2628.8,2658.3,29.5,0.09,0.044,0.5,0.95,0.743
KW-0021,Kimbala-0021,4,Sand_B,ReservoirSand,2658.3,2687.1,28.8,0.417,0.103,1.5,0.699,0.15
KW-0021,Kimbala-0021,5,Shale_C,Shale,2687.1,2719.2,32.1,0.036,0.041,0.9,0.929,0.634
KW-0021,Kimbala-0021,6,Sand_C,ReservoirSand,2719.2,2765.0,45.8,0.336,0.097,2.8,0.721,0.289
KW-0021,Kimbala-0021,7,Shale_D,Shale,2765.0,2813.7,48.6,0.109,0.066,0.8,0.921,0.895
KW-0021,Kimbala-0021,8,Sand_D,ReservoirSand,2813.7,2872.4,58.7,0.247,0.115,9.3,0.769,0.276
KW-0022,Kimbala-0022,1,Shale_A,Shale,2483.6,2521.1,37.5,0.113,0.074,0.6,0.886,0.761
KW-0022,Kimbala-0022,2,Sand_A,ReservoirSand,2521.1,2548.2,27.1,0.232,0.157,24.4,0.538,0.218
KW-0022,Kimbala-0022,3,Shale_B,Shale,2548.2,2599.3,51.1,0.066,0.072,0.3,0.901,0.879
KW-0022,Kimbala-0022,4,Sand_B,ReservoirSand,2599.3,2651.5,52.2,0.442,0.147,30.9,0.637,0.275
KW-0022,Kimbala-0022,5,Shale_C,Shale,2651.5,2706.9,55.4,0.129,0.041,0.6,0.952,0.754
KW-0022,Kimbala-0022,6,Sand_C,ReservoirSand,2706.9,2770.9,64.0,0.516,0.123,60.6,0.562,0.243
KW-0022,Kimbala-0022,7,Shale_D,Shale,2770.9,2831.2,60.2,0.049,0.048,1.8,0.948,0.737
KW-0022,Kimbala-0022,8,Sand_D,ReservoirSand,2831.2,2903.4,72.2,0.381,0.152,76.6,0.476,0.312
KW-0023,Kimbala-0023,1,Shale_A,Shale,2463.8,2496.9,33.1,0.087,0.059,0.7,0.95,0.917
KW-0023,Kimbala-0023,2,Sand_A,ReservoirSand,2496.9,2524.1,27.3,0.411,0.087,4.2,0.733,0.345
KW-0023,Kimbala-0023,3,Shale_B,Shale,2524.1,2570.9,46.8,0.07,0.049,0.5,0.949,0.811
KW-0023,Kimbala-0023,4,Sand_B,ReservoirSand,2570.9,2620.7,49.8,0.343,0.106,2.4,0.768,0.273
KW-0023,Kimbala-0023,5,Shale_C,Shale,2620.7,2665.0,44.3,0.088,0.064,1.5,0.909,0.645
KW-0023,Kimbala-0023,6,Sand_C,ReservoirSand,2665.0,2731.7,66.6,0.308,0.092,3.0,0.789,0.276
KW-0023,Kimbala-0023,7,Shale_D,Shale,2731.7,2791.4,59.7,0.074,0.042,1.5,0.908,0.64
KW-0023,Kimbala-0023,8,Sand_D,ReservoirSand,2791.4,2865.0,73.6,0.376,0.114,4.6,0.736,0.22
KW-0024,Kimbala-0024,1,Shale_A,Shale,2630.5,2668.0,37.5,0.1,0.036,0.9,0.919,0.697
KW-0024,Kimbala-0024,2,Sand_A,ReservoirSand,2668.0,2699.2,31.3,0.307,0.135,7.1,0.565,0.264
KW-0024,Kimbala-0024,3,Shale_B,Shale,2699.2,2750.0,50.8,0.126,0.04,1.0,0.936,0.833
KW-0024,Kimbala-0024,4,Sand_B,ReservoirSand,2750.0,2811.1,61.1,0.547,0.138,2.9,0.495,0.203
KW-0024,Kimbala-0024,5,Shale_C,Shale,2811.1,2873.0,61.9,0.077,0.048,0.7,0.861,0.747
KW-0024,Kimbala-0024,6,Sand_C,ReservoirSand,2873.0,2953.0,80.0,0.428,0.123,8.6,0.441,0.408
KW-0024,Kimbala-0024,7,Shale_D,Shale,2953.0,3032.0,79.0,0.093,0.068,1.4,0.882,0.662
KW-0024,Kimbala-0024,8,Sand_D,ReservoirSand,3032.0,3141.2,109.1,0.37,0.128,11.7,0.61,0.241
KW-0025,Kimbala-0025,1,Shale_A,Shale,2444.3,2471.3,27.0,0.061,0.051,0.6,0.932,0.826
KW-0025,Kimbala-0025,2,Sand_A,ReservoirSand,2471.3,2495.0,23.7,0.485,0.122,6.2,0.648,0.181
KW-0025,Kimbala-0025,3,Shale_B,Shale,2495.0,2525.9,30.9,0.06,0.069,0.5,0.934,0.803
KW-0025,Kimbala-0025,4,Sand_B,ReservoirSand,2525.9,2566.3,40.4,0.33,0.12,18.8,0.674,0.374
KW-0025,Kimbala-0025,5,Shale_C,Shale,2566.3,2607.1,40.8,0.065,0.029,0.8,0.935,0.656
KW-0025,Kimbala-0025,6,Sand_C,ReservoirSand,2607.1,2653.0,45.9,0.466,0.134,9.2,0.581,0.171
KW-0025,Kimbala-0025,7,Shale_D,Shale,2653.0,2706.1,53.1,0.072,0.071,0.8,0.899,0.671
KW-0025,Kimbala-0025,8,Sand_D,ReservoirSand,2706.1,2764.2,58.0,0.467,0.128,4.6,0.657,0.303
KW-0026,Kimbala-0026,1,Shale_A,Shale,2478.6,2517.8,39.2,0.042,0.033,0.9,0.923,0.73
KW-0026,Kimbala-0026,2,Sand_A,ReservoirSand,2517.8,2552.6,34.8,0.369,0.114,44.1,0.546,0.293
KW-0026,Kimbala-0026,3,Shale_B,Shale,2552.6,2601.0,48.4,0.042,0.053,0.3,0.949,0.786
KW-0026,Kimbala-0026,4,Sand_B,ReservoirSand,2601.0,2655.9,55.0,0.333,0.083,78.7,0.484,0.26
KW-0026,Kimbala-0026,5,Shale_C,Shale,2655.9,2708.3,52.4,0.135,0.046,0.3,0.956,0.716
KW-0026,Kimbala-0026,6,Sand_C,ReservoirSand,2708.3,2773.3,64.9,0.382,0.144,40.2,0.553,0.327
KW-0026,Kimbala-0026,7,Shale_D,Shale,2773.3,2844.4,71.1,0.084,0.052,0.6,0.927,0.724
KW-0026,Kimbala-0026,8,Sand_D,ReservoirSand,2844.4,2940.1,95.8,0.258,0.129,80.3,0.562,0.279
KW-0027,Kimbala-0027,1,Shale_A,Shale,2799.0,2822.3,23.3,0.086,0.058,0.4,0.902,0.706
KW-0027,Kimbala-0027,2,Sand_A,ReservoirSand,2822.3,2841.5,19.2,0.362,0.115,10.2,0.59,0.15
KW-0027,Kimbala-0027,3,Shale_B,Shale,2841.5,2868.9,27.4,0.033,0.053,2.0,0.911,0.951
KW-0027,Kimbala-0027,4,Sand_B,ReservoirSand,2868.9,2901.5,32.6,0.381,0.117,11.9,0.627,0.254
KW-0027,Kimbala-0027,5,Shale_C,Shale,2901.5,2938.5,37.0,0.04,0.043,1.2,0.918,0.827
KW-0027,Kimbala-0027,6,Sand_C,ReservoirSand,2938.5,2977.4,38.9,0.443,0.123,21.7,0.636,0.224
KW-0027,Kimbala-0027,7,Shale_D,Shale,2977.4,3021.2,43.8,0.062,0.046,0.7,0.915,0.611
KW-0027,Kimbala-0027,8,Sand_D,ReservoirSand,3021.2,3073.7,52.6,0.389,0.098,21.5,0.73,0.106
KW-0028,Kimbala-0028,1,Shale_A,Shale,2378.6,2404.1,25.5,0.047,0.083,1.3,0.954,0.731
KW-0028,Kimbala-0028,2,Sand_A,ReservoirSand,2404.1,2425.5,21.4,0.532,0.082,47.7,0.724,0.287
